"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"1";"2017-09-27 19:29:31";"Вставлена";"Работа";"0:00:00";"0:00:20";"0:00:00";"0:00:00";"0:00:20";"Водитель";"Один водитель";"0.00 км";
"2";"2017-09-27 19:29:51";"Вставлена";"Отдых";"0:00:00";"0:00:00";"0:00:00";"0:01:46";"0:00:00";"Водитель";"Один водитель";"301794 км";
"3";"2017-09-27 19:31:37";"Вставлена";"Работа";"0:00:00";"0:01:36";"0:00:00";"0:00:00";"0:01:36";"Водитель";"Один водитель";"0.00 км";
"4";"2017-09-27 19:33:13";"Вставлена";"Отдых";"0:00:00";"0:00:00";"0:00:00";"0:09:58";"0:00:00";"Водитель";"Один водитель";"0.00 км";
"5";"2017-09-27 19:43:11";"Вставлена";"Вождение";"1:29:35";"0:00:00";"0:00:00";"0:00:00";"1:29:35";"Водитель";"Один водитель";"116 км";
"6";"2017-09-27 21:12:46";"Вставлена";"Работа";"0:00:00";"0:00:23";"0:00:00";"0:00:00";"0:00:23";"Водитель";"Один водитель";"0.00 км";
"7";"2017-09-27 21:13:09";"Вставлена";"Вождение";"0:14:23";"0:00:00";"0:00:00";"0:00:00";"0:14:23";"Водитель";"Один водитель";"2.82 км";
"8";"2017-09-27 21:27:32";"Вставлена";"Работа";"0:00:00";"0:00:31";"0:00:00";"0:00:00";"0:00:31";"Водитель";"Один водитель";"0.00 км";
"9";"2017-09-27 21:28:03";"Вставлена";"Вождение";"1:41:31";"0:00:00";"0:00:00";"0:00:00";"1:41:31";"Водитель";"Один водитель";"116 км";
"10";"2017-09-27 23:09:34";"Вставлена";"Работа";"0:00:00";"0:02:07";"0:00:00";"0:00:00";"0:02:07";"Водитель";"Один водитель";"0.00 км";
"11";"2017-09-27 23:11:41";"Вставлена";"Вождение";"0:11:33";"0:00:00";"0:00:00";"0:00:00";"0:11:33";"Водитель";"Один водитель";"2.82 км";
"12";"2017-09-27 23:23:14";"Вставлена";"Работа";"0:00:00";"0:01:01";"0:00:00";"0:00:00";"0:01:01";"Водитель";"Один водитель";"0.00 км";
"13";"2017-09-27 23:24:15";"Вставлена";"Вождение";"1:40:54";"0:00:00";"0:00:00";"0:00:00";"1:40:54";"Водитель";"Один водитель";"116 км";
"14";"2017-09-28 01:05:09";"Вставлена";"Работа";"0:00:00";"0:00:31";"0:00:00";"0:00:00";"0:00:31";"Водитель";"Один водитель";"0.00 км";
"15";"2017-09-28 01:05:40";"Вставлена";"Вождение";"0:14:11";"0:00:00";"0:00:00";"0:00:00";"0:14:11";"Водитель";"Один водитель";"2.82 км";
"16";"2017-09-28 01:19:51";"Вставлена";"Работа";"0:00:00";"0:00:41";"0:00:00";"0:00:00";"0:00:41";"Водитель";"Один водитель";"0.00 км";
"17";"2017-09-28 01:20:32";"Вставлена";"Вождение";"1:41:16";"0:00:00";"0:00:00";"0:00:00";"1:41:16";"Водитель";"Один водитель";"116 км";
"18";"2017-09-28 03:01:48";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"19";"2017-09-28 03:03:54";"Вставлена";"Вождение";"0:12:38";"0:00:00";"0:00:00";"0:00:00";"0:12:38";"Водитель";"Один водитель";"2.82 км";
"20";"2017-09-28 03:16:32";"Вставлена";"Работа";"0:00:00";"0:00:10";"0:00:00";"0:00:00";"0:00:10";"Водитель";"Один водитель";"0.00 км";
"21";"2017-09-28 03:16:42";"Вставлена";"Вождение";"1:40:36";"0:00:00";"0:00:00";"0:00:00";"1:40:36";"Водитель";"Один водитель";"116 км";
"22";"2017-09-28 04:57:18";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"23";"2017-09-28 04:58:00";"Вставлена";"Вождение";"0:14:00";"0:00:00";"0:00:00";"0:00:00";"0:14:00";"Водитель";"Один водитель";"2.82 км";
"24";"2017-09-28 05:12:00";"Вставлена";"Работа";"0:00:00";"0:00:52";"0:00:00";"0:00:00";"0:00:52";"Водитель";"Один водитель";"0.00 км";
"25";"2017-09-28 05:12:52";"Вставлена";"Вождение";"1:40:57";"0:00:00";"0:00:00";"0:00:00";"1:40:57";"Водитель";"Один водитель";"116 км";
"26";"2017-09-28 06:53:49";"Вставлена";"Работа";"0:00:00";"0:00:33";"0:00:00";"0:00:00";"0:00:33";"Водитель";"Один водитель";"0.00 км";
"27";"2017-09-28 06:54:22";"Вставлена";"Вождение";"0:14:08";"0:00:00";"0:00:00";"0:00:00";"0:14:08";"Водитель";"Один водитель";"2.82 км";
"28";"2017-09-28 07:08:30";"Вставлена";"Работа";"0:00:00";"0:00:45";"0:00:00";"0:00:00";"0:00:45";"Водитель";"Один водитель";"0.00 км";
"29";"2017-09-28 07:09:15";"Вставлена";"Вождение";"1:41:04";"0:00:00";"0:00:00";"0:00:00";"1:41:04";"Водитель";"Один водитель";"116 км";
"30";"2017-09-28 08:50:19";"Вставлена";"Работа";"0:00:00";"0:00:20";"0:00:00";"0:00:00";"0:00:20";"Водитель";"Один водитель";"0.00 км";
"31";"2017-09-28 08:50:39";"Вставлена";"Вождение";"0:14:21";"0:00:00";"0:00:00";"0:00:00";"0:14:21";"Водитель";"Один водитель";"2.82 км";
"32";"2017-09-28 09:05:00";"Вставлена";"Работа";"0:00:00";"0:00:32";"0:00:00";"0:00:00";"0:00:32";"Водитель";"Один водитель";"0.00 км";
"33";"2017-09-28 09:05:32";"Вставлена";"Вождение";"1:41:19";"0:00:00";"0:00:00";"0:00:00";"1:41:19";"Водитель";"Один водитель";"116 км";
"34";"2017-09-28 10:46:51";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"35";"2017-09-28 10:48:57";"Вставлена";"Вождение";"0:12:35";"0:00:00";"0:00:00";"0:00:00";"0:12:35";"Водитель";"Один водитель";"2.82 км";
"36";"2017-09-28 11:01:32";"Вставлена";"Работа";"0:00:00";"0:00:12";"0:00:00";"0:00:00";"0:00:12";"Водитель";"Один водитель";"0.00 км";
"37";"2017-09-28 11:01:44";"Вставлена";"Вождение";"1:40:38";"0:00:00";"0:00:00";"0:00:00";"1:40:38";"Водитель";"Один водитель";"116 км";
"38";"2017-09-28 12:42:22";"Вставлена";"Работа";"0:00:00";"0:00:42";"0:00:00";"0:00:00";"0:00:42";"Водитель";"Один водитель";"0.00 км";
"39";"2017-09-28 12:43:04";"Вставлена";"Вождение";"0:14:01";"0:00:00";"0:00:00";"0:00:00";"0:14:01";"Водитель";"Один водитель";"2.82 км";
"40";"2017-09-28 12:57:05";"Вставлена";"Работа";"0:00:00";"0:00:55";"0:00:00";"0:00:00";"0:00:55";"Водитель";"Один водитель";"0.00 км";
"41";"2017-09-28 12:58:00";"Вставлена";"Вождение";"1:40:53";"0:00:00";"0:00:00";"0:00:00";"1:40:53";"Водитель";"Один водитель";"116 км";
"42";"2017-09-28 14:38:53";"Вставлена";"Работа";"0:00:00";"0:00:25";"0:00:00";"0:00:00";"0:00:25";"Водитель";"Один водитель";"0.00 км";
"43";"2017-09-28 14:39:18";"Вставлена";"Вождение";"0:14:17";"0:00:00";"0:00:00";"0:00:00";"0:14:17";"Водитель";"Один водитель";"2.82 км";
"44";"2017-09-28 14:53:35";"Вставлена";"Работа";"0:00:00";"0:00:33";"0:00:00";"0:00:00";"0:00:33";"Водитель";"Один водитель";"0.00 км";
"45";"2017-09-28 14:54:08";"Вставлена";"Вождение";"1:41:17";"0:00:00";"0:00:00";"0:00:00";"1:41:17";"Водитель";"Один водитель";"116 км";
"46";"2017-09-28 16:35:25";"Вставлена";"Работа";"0:00:00";"0:00:00";"0:00:00";"0:00:00";"0:00:00";"Водитель";"Один водитель";"0.00 км";
"----";"2017-09-27 19:29:31";"----";"----";"20:36:07";"0:18:03";"0:00:00";"0:11:44";"20:54:10";"----";"----";"303097 км";
